Year,Municipio,Nacionalidad,GeoCode,Value
2020,Mancha Real,,A23058,2.81
2020,Marmolejo,,A23059,1.23
2020,Martos,,A23060,4.21
2020,Mengíbar,,A23061,1.79
2020,Montizón,,A23062,3.97
2020,Navas de San Juan,,A23063,0.91
2020,Noalejo,,A23064,3.0
2020,Orcera,,A23065,3.02
2020,Peal de Becerro,,A23066,3.36
2020,Pegalajar,,A23067,1.36
2020,Porcuna,,A23069,2.88
2020,Pozo Alcón,,A23070,5.18
2020,Puente de Génave,,A23071,4.54
2020,"Puerta de Segura, La",,A23072,3.09
2020,Quesada,,A23073,2.56
2020,Rus,,A23074,1.33
2020,Sabiote,,A23075,0.75
2020,Santa Elena,,A23076,1.01
2020,Santiago de Calatrava,,A23077,4.15
2020,Santisteban del Puerto,,A23079,2.94
2020,Santo Tomé,,A23080,4.98
2020,Segura de la Sierra,,A23081,3.99
2020,Siles,,A23082,2.61
2020,Sorihuela del Guadalimar,,A23084,6.28
2020,Torreblascopedro,,A23085,0.68
2020,Torredelcampo,,A23086,2.11
2020,Torredonjimeno,,A23087,1.9
2020,Torreperogil,,A23088,1.5
2020,Torres,,A23090,2.84
2020,Torres de Albánchez,,A23091,1.17
2020,Úbeda,,A23092,2.61
2020,Valdepeñas de Jaén,,A23093,2.58
2020,Vilches,,A23094,2.11
2020,Villacarrillo,,A23095,4.48
2020,Villanueva de la Reina,,A23096,2.86
2020,Villanueva del Arzobispo,,A23097,6.03
2020,Villardompardo,,A23098,3.0
2020,"Villares, Los",,A23099,1.31
2020,Villarrodrigo,,A23101,4.86
2020,Cárcheles,,A23901,3.08
2020,Bedmar y Garcíez,,A23902,0.95
2020,Villatorres,,A23903,2.93
2020,Santiago-Pontones,,A23904,1.89
2020,Arroyo del Ojanco,,A23905,6.65
2020,Alameda,,A29001,4.72
2020,Alcaucín,,A29002,40.15
2020,Alfarnate,,A29003,3.94
2020,Alfarnatejo,,A29004,12.64
2020,Algarrobo,,A29005,14.52
