Value,Disaggregation combinations using this value,Number of indicators
Paterna de Rivera,4,4
Paterna del Campo,4,4
Paterna del Río,4,4
Paymogo,4,4
Peal de Becerro,4,4
Pechina,4,4
Pedrera,4,4
Pedro Abad,4,4
Pedro Martínez,4,4
Pedroche,4,4
"Pedroso, El",4,4
Pegalajar,4,4
Peligros,4,4
Peñaflor,4,4
Peñarroya-Pueblonuevo,4,4
Periana,4,4
"Peza, La",4,4
Pilas,4,4
"Pinar, El",4,4
Píñar,4,4
Pinos Genil,4,4
Pinos Puente,4,4
Pizarra,4,4
Polícar,4,4
Polopos,4,4
Porcuna,4,4
Pórtugos,4,4
Posadas,4,4
Pozo Alcón,4,4
Pozoblanco,4,4
Prado del Rey,4,4
Priego de Córdoba,4,4
Pruna,4,4
"Puebla de Cazalla, La",4,4
Puebla de Don Fadrique,4,4
Puebla de Guzmán,4,4
"Puebla de los Infantes, La",4,4
"Puebla del Río, La",4,4
Puente de Génave,4,4
Puente Genil,4,4
"Puerta de Segura, La",4,4
"Puerto de Santa María, El",4,4
Puerto Moral,4,4
Puerto Real,4,4
Puerto Serrano,4,4
Pujerra,4,4
Pulianas,4,4
Pulpí,4,4
Punta Umbría,4,4
Purchena,4,4
Purullena,4,4
Quéntar,4,4
Quesada,4,4
Rágol,4,4
"Rambla, La",4,4
"Real de la Jara, El",4,4
Rincón de la Victoria,4,4
"Rinconada, La",4,4
Riogordo,4,4
Rioja,4,4
Rociana del Condado,4,4
"Roda de Andalucía, La",4,4
Ronda,4,4
"Ronquillo, El",4,4
Roquetas de Mar,4,4
Rosal de la Frontera,4,4
Rota,4,4
"Rubio, El",4,4
Rubite,4,4
Rus,4,4
Rute,4,4
Sabiote,4,4
Salar,4,4
Salares,4,4
Salobreña,4,4
Salteras,4,4
San Bartolomé de la Torre,4,4
San Fernando,4,4
San José del Valle,4,4
San Juan de Aznalfarache,4,4
San Juan del Puerto,4,4
San Martín del Tesorillo,4,4
San Nicolás del Puerto,4,4
San Roque,4,4
San Sebastián de los Ballesteros,4,4
San Silvestre de Guzmán,4,4
Sanlúcar de Barrameda,4,4
Sanlúcar de Guadiana,4,4
Sanlúcar la Mayor,4,4
Santa Ana la Real,4,4
Santa Bárbara de Casa,4,4
Santa Cruz de Marchena,4,4
Santa Cruz del Comercio,4,4
Santa Elena,4,4
Santa Eufemia,4,4
Santa Fe de Mondújar,4,4
Santa Fe,4,4
Santa Olalla del Cala,4,4
Santaella,4,4
Santiago de Calatrava,4,4
Santiago-Pontones,4,4
Santiponce,4,4
Santisteban del Puerto,4,4
Santo Tomé,4,4
"Saucejo, El",4,4
Sayalonga,4,4
Sedella,4,4
Segura de la Sierra,4,4
Senés,4,4
Serón,4,4
Serrato,4,4
Setenil de las Bodegas,4,4
