Value,Disaggregation combinations using this value,Number of indicators
Laroya,5,4
Larva,5,4
Lebrija,5,4
Lecrín,5,4
Lentegí,5,4
Lepe,5,4
Linares de la Sierra,5,4
Linares,5,4
Lobras,5,4
Loja,5,4
Lopera,5,4
Lora de Estepa,5,4
Lora del Río,5,4
Lubrín,5,4
Lucainena de las Torres,5,4
Lucena del Puerto,5,4
Lucena,5,4
Lugros,5,4
Luisiana (La),3,3
"Luisiana, La",2,1
Lupión,5,4
Luque,5,4
Láchar,5,4
Láujar de Andarax,5,4
Líjar,5,4
Línea de la Concepción (La),3,3
"Línea de la Concepción, La",2,1
Lúcar,5,4
Lújar,5,4
Macael,5,4
Macharaviaya,5,4
Madroño (El),3,3
"Madroño, El",2,1
Mairena del Alcor,5,4
Mairena del Aljarafe,5,4
Malahá (La),3,3
"Malahá, La",2,1
Mancha Real,5,4
Manilva,5,4
Manzanilla,5,4
Maracena,5,4
Marbella,5,4
Marchal,5,4
Marchena,5,4
Marinaleda,5,4
Marines (Los),3,3
"Marines, Los",2,1
Marmolejo,5,4
Martos,5,4
Martín de la Jara,5,4
María,5,4
Medina Sidonia,5,4
Mengíbar,5,4
Mijas,5,4
Minas de Riotinto,5,4
Moclinejo,5,4
Moclín,5,4
Moguer,5,4
Mojonera (La),3,3
"Mojonera, La",2,1
Mojácar,5,4
Molares (Los),3,3
"Molares, Los",2,1
Mollina,5,4
Molvízar,5,4
Monachil,5,4
Monda,5,4
Montalbán de Córdoba,5,4
Montecorto,5,4
Montefrío,5,4
Montejaque,5,4
Montejícar,5,4
Montellano,5,4
Montemayor,5,4
Montilla,5,4
Montillana,5,4
Montizón,5,4
Montoro,5,4
Monturque,5,4
Moraleda de Zafayona,5,4
Morelábor,5,4
Moriles,5,4
Morón de la Frontera,5,4
Motril,5,4
Murtas,5,4
Málaga,5,4
Nacimiento,5,4
Nava (La),3,3
"Nava, La",2,1
Navas de la Concepción (Las),3,3
"Navas de la Concepción, Las",2,1
Navas de San Juan,5,4
Nerja,5,4
Nerva,5,4
Nevada,5,4
Niebla,5,4
Nigüelas,5,4
Noalejo,5,4
Nueva Carteya,5,4
Níjar,5,4
Nívar,5,4
Obejo,5,4
Ogíjares,5,4
Ohanes,5,4
Ojén,5,4
Olivares,5,4
Olula de Castro,5,4
Olula del Río,5,4
Olvera,5,4
Orce,5,4
Orcera,5,4
Oria,5,4
Osuna,5,4
Otívar,5,4
Padul,5,4
Padules,5,4
Palacios y Villafranca (Los),3,3
"Palacios y Villafranca, Los",2,1
Palenciana,5,4
Palma del Condado (La),3,3
"Palma del Condado, La",2,1
Palma del Río,5,4
Palmar de Troya (El),3,3
"Palmar de Troya, El",2,1
Palomares del Río,5,4
Palos de la Frontera,5,4
Pampaneira,5,4
Paradas,5,4
Parauta,5,4
Partaloa,5,4
Paterna de Rivera,5,4
Paterna del Campo,5,4
Paterna del Río,5,4
Paymogo,5,4
Peal de Becerro,5,4
Pechina,5,4
Pedrera,5,4
Pedro Abad,5,4
Pedro Martínez,5,4
Pedroche,5,4
Pedroso (El),3,3
"Pedroso, El",2,1
Pegalajar,5,4
Peligros,5,4
Periana,5,4
Peza (La),3,3
"Peza, La",2,1
Peñaflor,5,4
Peñarroya-Pueblonuevo,5,4
Pilas,5,4
Pinar (El),3,3
"Pinar, El",2,1
Pinos Genil,5,4
Pinos Puente,5,4
Pizarra,5,4
Polopos,5,4
Polícar,5,4
Porcuna,5,4
Posadas,5,4
Pozo Alcón,5,4
Pozoblanco,5,4
Prado del Rey,5,4
Priego de Córdoba,5,4
Pruna,5,4
Puebla de Cazalla (La),3,3
"Puebla de Cazalla, La",2,1
Puebla de Don Fadrique,5,4
Puebla de Guzmán,5,4
Puebla de los Infantes (La),3,3
"Puebla de los Infantes, La",2,1
Puebla del Río (La),3,3
"Puebla del Río, La",2,1
Puente de Génave,5,4
Puente Genil,5,4
Puerta de Segura (La),3,3
"Puerta de Segura, La",2,1
Puerto de Santa María (El),3,3
"Puerto de Santa María, El",2,1
Puerto Moral,5,4
Puerto Real,5,4
Puerto Serrano,5,4
Pujerra,5,4
Pulianas,5,4
Pulpí,5,4
Punta Umbría,5,4
Purchena,5,4
Purullena,5,4
Píñar,5,4
Pórtugos,5,4
Quesada,5,4
Quéntar,5,4
Rambla (La),3,3
"Rambla, La",2,1
Real de la Jara (El),3,3
"Real de la Jara, El",2,1
Rinconada (La),3,3
"Rinconada, La",2,1
Rincón de la Victoria,5,4
Riogordo,5,4
Rioja,5,4
Rociana del Condado,5,4
Roda de Andalucía (La),3,3
"Roda de Andalucía, La",2,1
Ronda,5,4
Ronquillo (El),3,3
"Ronquillo, El",2,1
Roquetas de Mar,5,4
Rosal de la Frontera,5,4
Rota,5,4
Rubio (El),3,3
"Rubio, El",2,1
Rubite,5,4
Rus,5,4
Rute,5,4
Rágol,5,4
Sabiote,5,4
Salar,5,4
Salares,5,4
Salobreña,5,4
Salteras,5,4
San Bartolomé de la Torre,5,4
San Fernando,5,4
San José del Valle,5,4
San Juan de Aznalfarache,5,4
San Juan del Puerto,5,4
San Martín del Tesorillo,5,4
San Nicolás del Puerto,5,4
San Roque,5,4
San Sebastián de los Ballesteros,5,4
San Silvestre de Guzmán,5,4
Sanlúcar de Barrameda,5,4
Sanlúcar de Guadiana,5,4
Sanlúcar la Mayor,5,4
Santa Ana la Real,5,4
Santa Bárbara de Casa,5,4
Santa Cruz de Marchena,5,4
Santa Cruz del Comercio,5,4
Santa Elena,5,4
Santa Eufemia,5,4
Santa Fe de Mondújar,5,4
Santa Fe,5,4
Santa Olalla del Cala,5,4
Santaella,5,4
Santiago de Calatrava,5,4
Santiago-Pontones,5,4
Santiponce,5,4
Santisteban del Puerto,5,4
Santo Tomé,5,4
Saucejo (El),3,3
"Saucejo, El",2,1
Sayalonga,5,4
Sedella,5,4
Segura de la Sierra,5,4
Senés,5,4
Serrato,5,4
Serón,5,4
Setenil de las Bodegas,5,4
Sevilla,5,4
Sierra de Yeguas,5,4
Sierro,5,4
Siles,5,4
Somontín,5,4
Soportújar,5,4
Sorbas,5,4
Sorihuela del Guadalimar,5,4
Sorvilán,5,4
Suflí,5,4
Tabernas,5,4
Taberno,5,4
Taha (La),3,3
"Taha, La",2,1
Tahal,5,4
Tarifa,5,4
Teba,5,4
Terque,5,4
Tocina,5,4
Tolox,5,4
Tomares,5,4
Torre Alháquime,5,4
Torre-Cardela,5,4
Torreblascopedro,5,4
Torrecampo,5,4
Torredelcampo,5,4
Torredonjimeno,5,4
Torremolinos,5,4
Torrenueva Costa,5,4
Torreperogil,5,4
Torres de Albánchez,5,4
Torres,5,4
Torrox,5,4
Torvizcón,5,4
Totalán,5,4
Trebujena,5,4
Tres Villas (Las),3,3
"Tres Villas, Las",2,1
Trevélez,5,4
Trigueros,5,4
Turre,5,4
Turrillas,5,4
Turón,5,4
Tíjola,5,4
Ubrique,5,4
Ugíjar,5,4
Uleila del Campo,5,4
Umbrete,5,4
Urrácal,5,4
Utrera,5,4
Valdelarco,5,4
Valdepeñas de Jaén,5,4
Valderrubio,5,4
Valencina de la Concepción,5,4
Valenzuela,5,4
Valle de Abdalajís,5,4
Valle del Zalabí,5,4
Valle (El),3,3
"Valle, El",2,1
Valsequillo,5,4
Valverde del Camino,5,4
Vegas del Genil,5,4
Vejer de la Frontera,5,4
Velefique,5,4
Ventas de Huelma,5,4
Vera,5,4
Viator,5,4
Victoria (La),3,3
"Victoria, La",2,1
Vilches,5,4
Villa de Otura,5,4
Villa del Río,5,4
Villablanca,5,4
Villacarrillo,5,4
Villafranca de Córdoba,5,4
Villaharta,5,4
Villalba del Alcor,5,4
Villaluenga del Rosario,5,4
Villamanrique de la Condesa,5,4
Villamartín,5,4
Villamena,5,4
Villanueva de Algaidas,5,4
Villanueva de Córdoba,5,4
Villanueva de la Concepción,5,4
Villanueva de la Reina,5,4
Villanueva de las Cruces,5,4
Villanueva de las Torres,5,4
Villanueva de los Castillejos,5,4
Villanueva de San Juan,5,4
Villanueva de Tapia,5,4
Villanueva del Ariscal,5,4
Villanueva del Arzobispo,5,4
Villanueva del Duque,5,4
Villanueva del Rey,5,4
Villanueva del Rosario,5,4
Villanueva del Río y Minas,5,4
Villanueva del Trabuco,5,4
Villanueva Mesía,5,4
Villaralto,5,4
Villardompardo,5,4
Villares (Los),3,3
"Villares, Los",2,1
Villarrasa,5,4
Villarrodrigo,5,4
Villatorres,5,4
Villaverde del Río,5,4
Villaviciosa de Córdoba,5,4
Viso del Alcor (El),3,3
"Viso del Alcor, El",2,1
Viso (El),3,3
"Viso, El",2,1
Viñuela,5,4
Válor,5,4
Vélez-Blanco,5,4
Vélez de Benaudalla,5,4
Vélez-Málaga,5,4
Vélez-Rubio,5,4
Vícar,5,4
Víznar,5,4
Yunquera,5,4
Zafarraya,5,4
Zagra,5,4
Zahara,5,4
Zalamea la Real,5,4
Zarza-Perrunal (La),3,3
"Zarza-Perrunal, La",2,1
Zubia (La),3,3
"Zubia, La",2,1
Zufre,5,4
Zuheros,5,4
Zurgena,5,4
Zújar,5,4
Álora,5,4
Árchez,5,4
Écija,5,4
Íllar,5,4
Íllora,5,4
Ítrabo,5,4
Órgiva,5,4
Úbeda,5,4
