"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Zona rural","Almedinilla","América del Sur","A14004",0.25
2020,"Indicador 1","Zona de densidad intermedia","Almodóvar del Río","América del Sur","A14005",0.13
2020,"Indicador 1","Zona rural","Añora","América del Sur","A14006",0.07
2020,"Indicador 1","Zona de densidad intermedia","Baena","América del Sur","A14007",0.2
2020,"Indicador 1","Zona rural","Belalcázar","América del Sur","A14008",0.49
2020,"Indicador 1","Zona rural","Belmez","América del Sur","A14009",0.51
2020,"Indicador 1","Zona rural","Benamejí","América del Sur","A14010",0.18
2020,"Indicador 1","Zona rural","Blázquez, Los","América del Sur","A14011",0
2020,"Indicador 1","Zona de densidad intermedia","Bujalance","América del Sur","A14012",0.14
2020,"Indicador 1","Zona de densidad intermedia","Cabra","América del Sur","A14013",0.31
2020,"Indicador 1","Zona rural","Cañete de las Torres","América del Sur","A14014",0.31
2020,"Indicador 1","Zona rural","Carcabuey","América del Sur","A14015",0.08
2020,"Indicador 1","Zona rural","Cardeña","América del Sur","A14016",0.07
2020,"Indicador 1","Zona de densidad intermedia","Carlota, La","América del Sur","A14017",0.69
2020,"Indicador 1","Zona rural","Carpio, El","América del Sur","A14018",0.18
2020,"Indicador 1","Zona de densidad intermedia","Castro del Río","América del Sur","A14019",0.12
2020,"Indicador 1","Zona rural","Conquista","América del Sur","A14020",0.55
2020,"Indicador 1","Ciudades","Córdoba","América del Sur","A14021",0.75
2020,"Indicador 1","Zona rural","Doña Mencía","América del Sur","A14022",0.11
2020,"Indicador 1","Zona rural","Dos Torres","América del Sur","A14023",0.42
2020,"Indicador 1","Zona rural","Encinas Reales","América del Sur","A14024",0.58
2020,"Indicador 1","Zona rural","Espejo","América del Sur","A14025",0.7
2020,"Indicador 1","Zona rural","Espiel","América del Sur","A14026",0.04
2020,"Indicador 1","Zona de densidad intermedia","Fernán-Núñez","América del Sur","A14027",0.45
2020,"Indicador 1","Zona rural","Fuente la Lancha","América del Sur","A14028",0
2020,"Indicador 1","Zona rural","Fuente Obejuna","América del Sur","A14029",0.29
2020,"Indicador 1","Zona de densidad intermedia","Fuente Palmera","América del Sur","A14030",0.32
2020,"Indicador 1","Zona rural","Fuente-Tójar","América del Sur","A14031",0
2020,"Indicador 1","Zona rural","Granjuela, La","América del Sur","A14032",1.59
2020,"Indicador 1","Zona rural","Guadalcázar","América del Sur","A14033",0.58
2020,"Indicador 1","Zona rural","Guijo, El","América del Sur","A14034",0.28
2020,"Indicador 1","Zona de densidad intermedia","Hinojosa del Duque","América del Sur","A14035",0.27
2020,"Indicador 1","Zona rural","Hornachuelos","América del Sur","A14036",0.33
2020,"Indicador 1","Zona rural","Iznájar","América del Sur","A14037",0.24
2020,"Indicador 1","Zona de densidad intermedia","Lucena","América del Sur","A14038",1.07
2020,"Indicador 1","Zona rural","Luque","América del Sur","A14039",0.1
2020,"Indicador 1","Zona de densidad intermedia","Montalbán de Córdoba","América del Sur","A14040",0.25
2020,"Indicador 1","Zona rural","Montemayor","América del Sur","A14041",0.29
2020,"Indicador 1","Zona de densidad intermedia","Montilla","América del Sur","A14042",0.33
2020,"Indicador 1","Zona de densidad intermedia","Montoro","América del Sur","A14043",0.12
2020,"Indicador 1","Zona rural","Monturque","América del Sur","A14044",0.05
2020,"Indicador 1","Zona rural","Moriles","América del Sur","A14045",0.11
2020,"Indicador 1","Zona de densidad intermedia","Nueva Carteya","América del Sur","A14046",0.19
2020,"Indicador 1","Zona rural","Obejo","América del Sur","A14047",0.25
2020,"Indicador 1","Zona rural","Palenciana","América del Sur","A14048",0.68
2020,"Indicador 1","Zona de densidad intermedia","Palma del Río","América del Sur","A14049",0.32
2020,"Indicador 1","Zona rural","Pedro Abad","América del Sur","A14050",0.14
2020,"Indicador 1","Zona rural","Pedroche","América del Sur","A14051",0.2
2020,"Indicador 1","Zona de densidad intermedia","Peñarroya-Pueblonuevo","América del Sur","A14052",0.16
2020,"Indicador 1","Zona de densidad intermedia","Posadas","América del Sur","A14053",0.37
2020,"Indicador 1","Zona de densidad intermedia","Pozoblanco","América del Sur","A14054",0.31
2020,"Indicador 1","Zona de densidad intermedia","Priego de Córdoba","América del Sur","A14055",0.32
2020,"Indicador 1","Zona de densidad intermedia","Puente Genil","América del Sur","A14056",0.71
2020,"Indicador 1","Zona de densidad intermedia","Rambla, La","América del Sur","A14057",0.39
2020,"Indicador 1","Zona de densidad intermedia","Rute","América del Sur","A14058",0.39
2020,"Indicador 1","Zona rural","San Sebastián de los Ballesteros","América del Sur","A14059",0
2020,"Indicador 1","Zona rural","Santaella","América del Sur","A14060",0.17
2020,"Indicador 1","Zona rural","Santa Eufemia","América del Sur","A14061",0
2020,"Indicador 1","Zona rural","Torrecampo","América del Sur","A14062",0.1
2020,"Indicador 1","Zona rural","Valenzuela","América del Sur","A14063",0.27
2020,"Indicador 1","Zona rural","Valsequillo","América del Sur","A14064",0.29
2020,"Indicador 1","Zona rural","Victoria, La","América del Sur","A14065",0.35
2020,"Indicador 1","Zona de densidad intermedia","Villa del Río","América del Sur","A14066",0.21
