"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,"Zona rural","Hinojales","21039",0.3
2020,"Zona rural","Hinojos","21040",5.63
2020,"Ciudades","Huelva","21041",4.6
2020,"Zona de densidad intermedia","Isla Cristina","21042",8.79
2020,"Zona rural","Jabugo","21043",2.61
2020,"Zona de densidad intermedia","Lepe","21044",17.75
2020,"Zona rural","Linares de la Sierra","21045",3.44
2020,"Zona rural","Lucena del Puerto","21046",35.14
2020,"Zona rural","Manzanilla","21047",1.65
2020,"Zona rural","Marines, Los","21048",5.01
2020,"Zona rural","Minas de Riotinto","21049",1.76
2020,"Zona de densidad intermedia","Moguer","21050",27.24
2020,"Zona rural","Nava, La","21051",3.1
2020,"Zona rural","Nerva","21052",2.28
2020,"Zona rural","Niebla","21053",4.71
2020,"Zona de densidad intermedia","Palma del Condado, La","21054",5.3
2020,"Zona de densidad intermedia","Palos de la Frontera","21055",20.38
2020,"Zona de densidad intermedia","Paterna del Campo","21056",1.3
2020,"Zona rural","Paymogo","21057",3.96
2020,"Zona rural","Puebla de Guzmán","21058",2.43
2020,"Zona rural","Puerto Moral","21059",2.88
2020,"Zona de densidad intermedia","Punta Umbría","21060",3.82
2020,"Zona de densidad intermedia","Rociana del Condado","21061",22.29
2020,"Zona rural","Rosal de la Frontera","21062",4.95
2020,"Zona rural","San Bartolomé de la Torre","21063",15.1
2020,"Zona de densidad intermedia","San Juan del Puerto","21064",8.79
2020,"Zona rural","Sanlúcar de Guadiana","21065",24.57
2020,"Zona rural","San Silvestre de Guzmán","21066",10.59
2020,"Zona rural","Santa Ana la Real","21067",3.37
2020,"Zona rural","Santa Bárbara de Casa","21068",2.01
2020,"Zona rural","Santa Olalla del Cala","21069",1.19
2020,"Zona de densidad intermedia","Trigueros","21070",2.66
2020,"Zona rural","Valdelarco","21071",1.73
2020,"Zona de densidad intermedia","Valverde del Camino","21072",2.85
2020,"Zona rural","Villablanca","21073",18.99
2020,"Zona rural","Villalba del Alcor","21074",1.4
2020,"Zona rural","Villanueva de las Cruces","21075",2.58
2020,"Zona rural","Villanueva de los Castillejos","21076",10.27
2020,"Zona rural","Villarrasa","21077",5.43
2020,"Zona rural","Zalamea la Real","21078",1.7
2020,"Zona rural","Zufre","21079",3.02
2020,"Zona rural","Zarza-Perrunal, La","21902",0.64
2020,"Zona rural","Albanchez de Mágina","23001",2.18
2020,"Zona de densidad intermedia","Alcalá la Real","23002",4.24
2020,"Zona de densidad intermedia","Alcaudete","23003",3.62
2020,"Zona rural","Aldeaquemada","23004",2.52
2020,"Zona de densidad intermedia","Andújar","23005",1.56
2020,"Zona de densidad intermedia","Arjona","23006",0.83
2020,"Zona rural","Arjonilla","23007",1.04
2020,"Zona rural","Arquillos","23008",1.74
2020,"Zona de densidad intermedia","Baeza","23009",2.91
2020,"Zona de densidad intermedia","Bailén","23010",1.52
2020,"Zona rural","Baños de la Encina","23011",0.47
2020,"Zona rural","Beas de Segura","23012",6.69
2020,"Zona rural","Begíjar","23014",1.03
2020,"Zona rural","Bélmez de la Moraleda","23015",3.63
2020,"Zona rural","Benatae","23016",4.49
2020,"Zona rural","Cabra del Santo Cristo","23017",1.29
2020,"Zona rural","Cambil","23018",2.91
2020,"Zona rural","Campillo de Arenas","23019",2.74
2020,"Zona de densidad intermedia","Canena","23020",5.68
2020,"Zona rural","Carboneros","23021",0.68
2020,"Zona de densidad intermedia","Carolina, La","23024",1.42
2020,"Zona rural","Castellar","23025",1.73
2020,"Zona rural","Castillo de Locubín","23026",6.2
2020,"Zona rural","Cazalilla","23027",1.62
2020,"Zona de densidad intermedia","Cazorla","23028",2.29
2020,"Zona rural","Chiclana de Segura","23029",6.49
2020,"Zona rural","Chilluévar","23030",2.34
2020,"Zona rural","Escañuela","23031",2.22
2020,"Zona rural","Espeluy","23032",0.81
2020,"Zona rural","Frailes","23033",5.24
2020,"Zona rural","Fuensanta de Martos","23034",4.41
2020,"Zona rural","Fuerte del Rey","23035",3.99
2020,"Zona rural","Génave","23037",3.73
2020,"Zona rural","Guardia de Jaén, La","23038",1.44
2020,"Zona rural","Guarromán","23039",2.45
2020,"Zona rural","Lahiguera","23040",1.19
2020,"Zona rural","Higuera de Calatrava","23041",3.91
2020,"Zona rural","Hinojares","23042",11.53
