Year,Nacionalidad,Grado urbanización,Municipio,GeoCode,Value
2020,UE15,Zona rural,Villaralto,A14072,0.18
2020,UE15,Zona rural,Villaviciosa de Córdoba,A14073,0.13
2020,UE15,Zona rural,"Viso, El",A14074,0.0
2020,UE15,Zona rural,Zuheros,A14075,2.2
2020,UE15,Zona rural,Fuente Carreteros,A14901,0.17
2020,UE15,Zona rural,"Guijarrosa, La",A14902,0.22
2020,UE15,Zona rural,Agrón,A18001,2.31
2020,UE15,Zona rural,Alamedilla,A18002,0.0
2020,UE15,Zona de densidad intermedia,Albolote,A18003,0.6
2020,UE15,Zona rural,Albondón,A18004,3.37
2020,UE15,Zona rural,Albuñán,A18005,0.0
2020,UE15,Zona rural,Albuñol,A18006,1.59
2020,UE15,Zona rural,Albuñuelas,A18007,1.62
2020,UE15,Zona rural,Aldeire,A18010,1.9
2020,UE15,Zona de densidad intermedia,Alfacar,A18011,0.49
2020,UE15,Zona rural,Algarinejo,A18012,2.11
2020,UE15,Zona rural,Alhama de Granada,A18013,1.48
2020,UE15,Zona de densidad intermedia,Alhendín,A18014,0.91
2020,UE15,Zona rural,Alicún de Ortega,A18015,0.0
2020,UE15,Zona rural,Almegíjar,A18016,5.04
2020,UE15,Zona de densidad intermedia,Almuñécar,A18017,9.46
2020,UE15,Zona rural,Alquife,A18018,0.69
2020,UE15,Zona rural,Arenas del Rey,A18020,3.68
2020,UE15,Ciudades,Armilla,A18021,0.73
2020,UE15,Zona de densidad intermedia,Atarfe,A18022,0.35
2020,UE15,Zona de densidad intermedia,Baza,A18023,0.78
2020,UE15,Zona rural,Beas de Granada,A18024,0.61
2020,UE15,Zona rural,Beas de Guadix,A18025,0.3
2020,UE15,Zona rural,Benalúa,A18027,0.3
2020,UE15,Zona rural,Benalúa de las Villas,A18028,0.09
2020,UE15,Zona rural,Benamaurel,A18029,3.54
2020,UE15,Zona rural,Bérchules,A18030,5.2
2020,UE15,Zona rural,Bubión,A18032,5.37
2020,UE15,Zona rural,Busquístar,A18033,2.87
2020,UE15,Zona rural,Cacín,A18034,4.23
2020,UE15,Zona rural,Cádiar,A18035,3.75
2020,UE15,Ciudades,Cájar,A18036,1.08
2020,UE15,Zona rural,Calicasas,A18037,0.16
2020,UE15,Zona rural,Campotéjar,A18038,0.08
2020,UE15,Zona rural,Caniles,A18039,2.46
2020,UE15,Zona rural,Cáñar,A18040,18.04
2020,UE15,Zona rural,Capileira,A18042,3.91
2020,UE15,Zona rural,Carataunas,A18043,22.39
2020,UE15,Zona rural,Cástaras,A18044,18.3
2020,UE15,Zona rural,Castilléjar,A18045,7.65
2020,UE15,Zona rural,Castril,A18046,2.87
2020,UE15,Zona de densidad intermedia,Cenes de la Vega,A18047,1.34
2020,UE15,Zona rural,Cijuela,A18048,0.38
2020,UE15,Zona rural,Cogollos de Guadix,A18049,0.78
2020,UE15,Zona de densidad intermedia,Cogollos de la Vega,A18050,0.35
2020,UE15,Zona rural,Colomera,A18051,0.77
2020,UE15,Zona rural,Cortes de Baza,A18053,3.74
2020,UE15,Zona rural,Cortes y Graena,A18054,0.71
2020,UE15,Zona rural,Cúllar,A18056,1.81
2020,UE15,Zona de densidad intermedia,Cúllar Vega,A18057,0.62
2020,UE15,Zona de densidad intermedia,Chauchina,A18059,0.11
2020,UE15,Zona rural,Chimeneas,A18061,0.32
2020,UE15,Ciudades,Churriana de la Vega,A18062,0.59
2020,UE15,Zona rural,Darro,A18063,0.06
2020,UE15,Zona rural,Dehesas de Guadix,A18064,0.47
2020,UE15,Zona rural,Dehesas Viejas,A18065,0.0
2020,UE15,Zona rural,Deifontes,A18066,0.35
2020,UE15,Zona rural,Diezma,A18067,0.79
2020,UE15,Zona rural,Dílar,A18068,2.2
2020,UE15,Zona rural,Dólar,A18069,0.8
2020,UE15,Zona rural,Dúdar,A18070,0.92
2020,UE15,Zona de densidad intermedia,Dúrcal,A18071,1.38
2020,UE15,Zona rural,Escúzar,A18072,0.13
2020,UE15,Zona rural,Ferreira,A18074,0.33
2020,UE15,Zona rural,Fonelas,A18076,0.51
2020,UE15,Zona rural,Fornes,A18077,3.96
2020,UE15,Zona rural,Freila,A18078,7.77
2020,UE15,Zona de densidad intermedia,Fuente Vaqueros,A18079,0.3
2020,UE15,Zona rural,Galera,A18082,13.17
2020,UE15,Zona rural,Gobernador,A18083,0.0
2020,UE15,Ciudades,Gójar,A18084,1.32
2020,UE15,Zona rural,Gor,A18085,1.61
2020,UE15,Zona rural,Gorafe,A18086,3.92
2020,UE15,Ciudades,Granada,A18087,0.87
2020,UE15,Zona rural,Guadahortuna,A18088,0.32
2020,UE15,Zona de densidad intermedia,Guadix,A18089,0.42
2020,UE15,Zona rural,Gualchos,A18093,2.41
2020,UE15,Zona rural,Güéjar Sierra,A18094,2.45
2020,UE15,Zona rural,Güevéjar,A18095,0.15
2020,UE15,Zona rural,Huélago,A18096,0.0
2020,UE15,Zona rural,Huéneja,A18097,0.43
2020,UE15,Zona de densidad intermedia,Huéscar,A18098,1.15
2020,UE15,Zona rural,Huétor de Santillán,A18099,0.74
2020,UE15,Zona de densidad intermedia,Huétor Tájar,A18100,0.13
2020,UE15,Ciudades,Huétor Vega,A18101,1.12
2020,UE15,Zona rural,Íllora,A18102,1.02
2020,UE15,Zona rural,Ítrabo,A18103,3.33
2020,UE15,Zona de densidad intermedia,Iznalloz,A18105,0.61
2020,UE15,Zona rural,Játar,A18106,2.25
2020,UE15,Zona rural,Jayena,A18107,0.29
2020,UE15,Zona rural,Jérez del Marquesado,A18108,0.21
2020,UE15,Zona rural,Jete,A18109,9.71
2020,UE15,Zona rural,Jun,A18111,0.31
2020,UE15,Zona rural,Juviles,A18112,7.41
2020,UE15,Zona rural,"Calahorra, La",A18114,0.15
2020,UE15,Zona rural,Láchar,A18115,0.28
2020,UE15,Zona rural,Lanjarón,A18116,4.79
2020,UE15,Zona rural,Lanteira,A18117,0.35
2020,UE15,Zona rural,Lecrín,A18119,7.28
2020,UE15,Zona rural,Lentegí,A18120,3.0
2020,UE15,Zona rural,Lobras,A18121,5.26
2020,UE15,Zona de densidad intermedia,Loja,A18122,1.06
2020,UE15,Zona rural,Lugros,A18123,0.0
2020,UE15,Zona rural,Lújar,A18124,11.18
2020,UE15,Zona rural,"Malahá, La",A18126,0.56
2020,UE15,Ciudades,Maracena,A18127,0.3
2020,UE15,Zona rural,Marchal,A18128,0.48
2020,UE15,Zona rural,Moclín,A18132,2.18
2020,UE15,Zona rural,Molvízar,A18133,2.34
2020,UE15,Ciudades,Monachil,A18134,2.52
2020,UE15,Zona rural,Montefrío,A18135,1.68
2020,UE15,Zona rural,Montejícar,A18136,0.19
2020,UE15,Zona rural,Montillana,A18137,0.71
2020,UE15,Zona rural,Moraleda de Zafayona,A18138,3.3
2020,UE15,Zona de densidad intermedia,Motril,A18140,0.62
2020,UE15,Zona rural,Murtas,A18141,5.93
2020,UE15,Zona rural,Nigüelas,A18143,6.16
2020,UE15,Zona de densidad intermedia,Nívar,A18144,1.25
2020,UE15,Ciudades,Ogíjares,A18145,0.97
2020,UE15,Zona rural,Orce,A18146,5.57
2020,UE15,Zona rural,Órgiva,A18147,18.76
2020,UE15,Zona rural,Otívar,A18148,2.77
2020,UE15,Zona de densidad intermedia,Villa de Otura,A18149,1.36
2020,UE15,Zona de densidad intermedia,Padul,A18150,0.97
2020,UE15,Zona rural,Pampaneira,A18151,8.2
2020,UE15,Zona rural,Pedro Martínez,A18152,0.26
2020,UE15,Zona de densidad intermedia,Peligros,A18153,0.29
2020,UE15,Zona rural,"Peza, La",A18154,0.17
2020,UE15,Zona rural,Pinos Genil,A18157,1.95
2020,UE15,Zona de densidad intermedia,Pinos Puente,A18158,0.14
2020,UE15,Zona rural,Píñar,A18159,0.0
2020,UE15,Zona rural,Polícar,A18161,1.52
2020,UE15,Zona rural,Polopos,A18162,3.43
2020,UE15,Zona rural,Pórtugos,A18163,1.63
2020,UE15,Zona rural,Puebla de Don Fadrique,A18164,0.45
2020,UE15,Ciudades,Pulianas,A18165,0.16
2020,UE15,Zona rural,Purullena,A18167,0.26
2020,UE15,Zona rural,Quéntar,A18168,1.27
2020,UE15,Zona rural,Rubite,A18170,7.85
